step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap,target_2_x,target_2_y,target_2_cap
1,0,0.325,0.7,-1.5013758,0,0.0031908066011965275,0.0034396457485854626,0.11239272356033325,0.01097682025283575,0.01197539921849966,0.4226730763912201,0.2599497437477112,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,1,-0.875,-0.5,-0.5178454,0,0.06534110754728317,0.0,0.0007128823781386018,0.06394600868225098,0.016829675063490868,0.6458331346511841,0.4596458673477173,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,2,1.225,-0.86,2.1495287,0,0.12051203846931458,0.0,0.009487957693636417,0.0,0.03630823269486427,0.6629757285118103,0.43800124526023865,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,3,0.475,-0.26,-1.3764527,0,0.0,0.0,0.12614010274410248,0.003859895747154951,0.016207968816161156,0.3847699761390686,0.33669954538345337,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,4,0.025,-0.86,-2.5346289,0,0.024901168420910835,0.009793355129659176,0.0662170797586441,0.029088390991091728,0.0026519359089434147,0.4288281202316284,0.31911513209342957,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,5,0.925,0.1,-1.9526311,0,0.0,0.0,0.12999999523162842,0.0,0.017788613215088844,0.3972497880458832,0.2748362123966217,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,6,-1.475,-0.74,-2.318862,0,0.1130233034491539,0.0,0.0,0.016976691782474518,0.019995639100670815,0.7339621782302856,0.34254467487335205,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,7,-1.625,-0.74,2.4269881,0,0.09252167493104935,0.0,0.0,0.037478312849998474,0.01013810932636261,0.685631275177002,0.3327969014644623,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,8,-1.025,0.1,-3.0128295,0,0.12134185433387756,0.0,0.0,0.008658135309815407,0.004740825854241848,0.6600549817085266,0.44325655698776245,0.0,0.0,0.0,0.0,0,0,1,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,9,-1.175,0.34,1.0778251,1,0.12999999523162842,0.0,0.0,0.0,0.04089198634028435,0.8476662635803223,0.448324590921402,0.0,0.0,0.0,0.0,1,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
