step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap
1,0,-0.32732055,0.0806017,-2.7996504,0,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.07500000298023224,0.5,0.5,6.28,1.9168213535100225,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,1,-0.47419718,-0.27687365,-0.97405344,0,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.07500000298023224,0.5,0.5,3.4020296814208884,4.597970318579112,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,2,0.12263751,0.08209776,2.4265018,0,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.07500000298023224,0.5,0.5,3.353830516062,4.646169483938,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,3,0.574305,-0.40060538,-2.4831536,0,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.07500000298023224,0.5,0.5,6.28,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,4,-0.17512412,0.43924624,0.90815234,0,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.07500000298023224,0.5,0.5,6.28,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,5,-0.7729487,-0.03969311,0.59799355,0,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.07500000298023224,0.5,0.5,6.28,-6.28,0.0,0.0,0,0,1,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,6,-0.32792842,0.3219955,2.4185712,0,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.07500000298023224,0.5,0.5,1.1968546162545681,6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,7,-0.7727116,0.08001146,-2.697533,0,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.07500000298023224,0.5,0.5,6.28,-6.28,0.0,0.0,0,0,1,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,0,-0.326643,0.08084169,-2.73507,0,0.12999999523162842,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.1383478045463562,0.9975626468658447,0.8872370719909668,6.28,1.6459070762991912,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,1,-0.47443008,-0.27651823,-0.91032445,0,0.009999999776482582,0.009999999776482582,0.12997139990329742,0.009999999776482582,0.02156839519739151,8.403890387853608e-05,0.00556156923994422,3.3666857697563426,4.633314230243657,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
