step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap
1,0,-0.625,0.32,-0.24210422,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,6.28,1.9103750754380533,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,1,0.425,0.44,0.4520402,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,4.234767483445421,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,2,0.125,-0.16,-3.0321178,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,4.746495014754432,2.5991145629404624,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,3,-0.625,-0.28,0.5325429,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,2.619799197004977,1.9129327088136034,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,4,-0.475,-0.16,2.3528855,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,6.196125777203585,1.7307834988728819,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,5,0.125,0.08,0.22259909,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,1.9406914021282986,-1.2465679948071442,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,6,-0.775,0.08,0.7314774,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,4.842269503303526,6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,7,-0.325,0.32,2.137506,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,-6.0524979396332546,4.047508638812491,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,0,-0.625,0.32,-0.24210422,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,6.28,1.9584497304596684,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,1,0.425,0.44,0.4520402,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,4.182878866112888,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,2,0.125,-0.16,-3.0321178,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,3.9815420490476567,4.358270745316109,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
