step,agent_id,pos_x,pos_y,vel_x,vel_y,angle,cmd_omega_l,cmd_omega_r,w_flow,w_shape,k_diff,alpha,beta,q_shape,corridor_width,goal_x,goal_y,ideal_beta,y_grad_variance,dist_centroid,is_colliding,score,is_alive
1,0,-1.35,-0.25,5.675947e-10,1.0692857e-10,-1.3845899,-6.28,-1.3107009428739547,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,1.9035323858261108,0.39227229356765747,0,0,1
1,1,-1.25,-0.35,-2.8989997e-10,-4.9955534e-10,2.615772,5.892544099986553,-2.1068381610512734,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,1.9088430404663086,0.4540071189403534,0,0,1
1,2,-1.15,-0.15,-4.953034e-10,-2.971052e-10,2.111102,1.9992042645812034,-0.8115823693573474,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,1.9072821140289307,0.2147613763809204,0,0,1
1,3,-1.15,0.15,-5.7754324e-10,-6.333323e-12,1.581762,6.28,5.054433750063181,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,1.9021226167678833,0.12936265766620636,0,0,1
1,4,-1.25,0.05,-1.3523715e-10,5.6152444e-10,0.23633823,-6.28,0.565427596569061,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,1.9114285707473755,0.10101527720689774,0,0,1
1,5,-1.15,0.45,4.6886203e-11,-5.7567284e-10,-3.060326,0.24479675740003634,6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.09124120324850082,0.4716449975967407,0,0,1
1,6,-1.15,0.05,-2.7457048e-10,-5.0813975e-10,2.6461926,1.347581751942635,-6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,1.9183006286621094,0.0202031172811985,0,0,1
1,7,-0.85,0.35,-1.4137322e-10,-5.600107e-10,2.894312,4.88249905616045,6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,0.8733333349227905,1.15,0.0,1.0,1.907241940498352,0.5050762295722961,0,0,1
2,0,-1.35,-0.25,-9.334755e-10,-1.7585579e-10,-1.3845899,-6.28,-1.3107009428739547,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,3.6167116165161133,0.39227229356765747,0,0,1
2,1,-1.25,-0.35,4.767747e-10,8.2157986e-10,2.615772,5.892544099986553,-2.1068381610512734,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,3.6268017292022705,0.4540071189403534,0,0,1
2,2,-1.15,-0.15,8.145815e-10,4.886224e-10,2.111102,1.9992042645812034,-0.8115823693573474,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,3.623836040496826,0.2147613763809204,0,0,1
2,3,-1.15,0.15,9.498436e-10,1.0415859e-11,1.581762,6.28,5.054433750063181,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,3.6140329837799072,0.12936265766620636,0,0,1
2,4,-1.25,0.05,2.2241377e-10,-9.234971e-10,0.23633823,-6.28,0.565427596569061,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,3.631714344024658,0.10101527720689774,0,0,1
2,5,-1.15,0.45,-7.7112254e-11,9.467676e-10,-3.060326,0.24479675740003634,6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.17335829138755798,0.4716449975967407,0,0,1
2,6,-1.15,0.05,4.5156562e-10,8.356994e-10,2.6461926,1.347581751942635,-6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,3.644771099090576,0.0202031172811985,0,0,1
2,7,-0.85,0.35,2.3250543e-10,9.2100116e-10,2.894312,4.88249905616045,6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,0.8733333349227905,1.15,0.0,1.0,3.6237597465515137,0.5050762295722961,0,0,1
3,0,-1.3514687,-0.24418461,-0.02277013,0.072941534,-1.240846,-6.28,-0.5767514491081246,0.09,0.04,0.05,1.0,5.0,0.5334793863005871,1.0,1.15,0.0,1.0,4.958780765533447,0.3879247307777405,0,0,1
3,1,-1.2524915,-0.3482292,-0.029351735,0.024969488,2.3896654,6.28,1.272968825697899,0.09,0.04,0.05,1.0,5.0,0.5334793863005871,1.0,1.15,0.0,1.0,4.970625877380371,0.45415517687797546,0,0,1
3,2,-1.1504618,-0.14916858,-0.005371938,0.010403319,2.0321329,1.808931174427271,-0.47230064749717704,0.09,0.04,0.05,1.0,5.0,0.5334793863005871,1.0,1.15,0.0,1.0,4.96765661239624,0.21612244844436646,0,0,1
3,3,-1.1499648,0.15904534,0.0020181055,0.11321635,1.5462714,5.995791050978005,5.189288016967476,0.09,0.04,0.05,1.0,5.0,0.5334793863005871,1.0,1.15,0.0,1.0,4.957584857940674,0.1378166824579239,0,0,1
3,4,-1.254375,0.048571415,-0.053603828,-0.022095598,0.42993915,-6.28,0.48386259794235137,0.09,0.04,0.05,1.0,5.0,0.5334793863005871,1.0,1.15,0.0,1.0,4.982892036437988,0.10278107970952988,0,0,1
3,5,-1.1551839,0.44920895,-0.06453544,-0.014301737,-2.8894615,2.7716626381874088,6.28,0.09,0.04,0.05,1.0,5.0,0.5334793863005871,1.0,1.15,0.0,1.0,0.2159522920846939,0.46850138902664185,0,0,1
3,6,-1.1466801,0.047809083,0.03938331,-0.031011626,2.430569,0.1530382502079014,-6.28,0.09,0.04,0.05,1.0,5.0,0.5334793863005871,1.0,1.15,0.0,1.0,4.986413955688477,0.0229527335613966,0,0,1
3,7,-0.8586698,0.35203302,-0.10897432,0.02373526,2.934775,5.226783905029297,6.28,0.09,0.04,0.05,1.0,5.0,0.5334793863005871,0.8843150734901428,1.15,0.0,1.0,4.9675421714782715,0.5001650452613831,0,0,1
4,0,-1.3545365,-0.23718497,-0.035647348,0.0678744,-1.0646087,-6.28,0.5143806189298633,0.09,0.04,0.05,1.0,5.0,0.5433687893033011,1.0,1.15,0.0,1.0,5.691497325897217,0.383126437664032,0,0,1
4,1,-1.2550077,-0.34531194,-0.023855995,0.030352414,2.1013052,6.28,5.150963225215674,0.09,0.04,0.05,1.0,5.0,0.5433687893033011,1.0,1.15,0.0,1.0,5.702320098876953,0.45294156670570374,0,0,1
4,2,-1.1509393,-0.1480781,-0.0043585883,0.011071987,1.9333482,1.5238742203265427,-0.07567059703171251,0.09,0.04,0.05,1.0,5.0,0.5433687893033011,1.0,1.15,0.0,1.0,5.700668811798096,0.217344731092453,0,0,1
4,3,-1.1494542,0.17037155,0.00706803,0.11320801,1.5027758,4.985336687669624,4.998623106374871,0.09,0.04,0.05,1.0,5.0,0.5433687893033011,1.0,1.15,0.0,1.0,5.692014217376709,0.14897967875003815,0,0,1
4,4,-1.2593592,0.045627225,-0.046990026,-0.032630768,0.6764399,-6.28,0.7643437951803208,0.09,0.04,0.05,1.0,5.0,0.5433687893033011,1.0,1.15,0.0,1.0,5.723175048828125,0.10456749051809311,0,0,1
4,5,-1.1613945,0.44693318,-0.060609814,-0.027801136,-2.6743515,5.715869277715684,6.28,0.09,0.04,0.05,1.0,5.0,0.5433687893033011,1.0,1.15,0.0,1.0,0.28989508748054504,0.4636014997959137,0,0,1
