step,agent_id,pos_x,pos_y,vel_x,vel_y,angle,cmd_omega_l,cmd_omega_r,w_flow,w_shape,k_diff,alpha,beta,q_total,q_shape,q_uniformity,corridor_width,goal_x,goal_y,ideal_beta,y_grad_variance,dist_centroid,is_colliding,score,is_alive
1,0,-0.84984463,-0.4495546,0.00033971595,0.0031668092,1.4995697,3.9508461952209473,6.28000020980835,0.0674712285399437,0.06252876669168472,0.03500000014901161,1.0,1.7101280689239502,0.021544031992933137,0.015384423408137489,0.03591645202412299,1.0,1.05,0.0,1.0,14.891841888427734,0.6691147685050964,0,0,1
1,1,-1.1500207,-0.34855545,-0.0018789255,0.010358591,1.7722979,6.28000020980835,5.324957847595215,0.06611769646406174,0.06388229876756668,0.03500000014901161,1.0,1.5843833684921265,0.021544031992933137,0.015384423408137489,0.03591645202412299,1.0,1.05,0.0,1.0,14.437262535095215,0.40746939182281494,0,0,1
1,2,-1.4497893,-0.04959055,0.00076349627,0.0028726927,1.3419098,4.788934707641602,-2.187774658203125,0.015059836208820343,0.11494015902280807,0.032169681042432785,1.0,1.1830763816833496,0.021544031992933137,0.015384423408137489,0.03591645202412299,1.0,1.05,0.0,1.0,8.847774505615234,0.26321908831596375,0,0,1
1,3,-1.1539372,0.3489464,-0.028516652,-0.009646678,-2.800258,-1.6460163593292236,5.901699542999268,0.06726951897144318,0.06273047626018524,0.03500000014901161,1.0,1.8593571186065674,0.021544031992933137,0.015384423408137489,0.03591645202412299,1.0,1.05,0.0,1.0,14.90280532836914,0.4069182872772217,0,0,1
1,4,-1.4495876,0.050142888,-0.002070879,0.0014778093,2.5998788,6.28000020980835,-4.953810214996338,0.06597402691841125,0.06402596831321716,0.03500000014901161,1.0,1.9495913982391357,0.021544031992933137,0.015384423408137489,0.03591645202412299,1.0,1.05,0.0,1.0,14.142067909240723,0.2631145417690277,0,0,1
1,5,-1.4494734,-0.24974947,0.0033587702,0.00090565596,0.25847533,2.8938827514648438,6.28000020980835,0.06739313155412674,0.06260686367750168,0.03500000014901161,1.0,1.4878255128860474,0.021544031992933137,0.015384423408137489,0.03591645202412299,1.0,1.05,0.0,1.0,14.950149536132812,0.38389164209365845,0,0,1
1,6,-1.4484457,0.24928252,0.011496954,-0.004657296,2.7509649,-4.785000324249268,6.28000020980835,0.06737103313207626,0.06262896209955215,0.03500000014901161,1.0,1.883573293685913,0.021544031992933137,0.015384423408137489,0.03591645202412299,1.0,1.05,0.0,1.0,14.83677864074707,0.38265460729599,0,0,1
1,7,-0.8479575,0.44933775,0.011869114,-0.0041003847,2.81059,-3.1627466678619385,5.479239463806152,0.06736934930086136,0.06263064593076706,0.03500000014901161,1.0,1.963531494140625,0.021544031992933137,0.015384423408137489,0.03591645202412299,1.0,1.05,0.0,1.0,12.784677505493164,0.670251727104187,0,0,1
2,0,-0.8494897,-0.44135767,0.0017273276,0.102149956,1.566995,3.6934428215026855,6.28000020980835,0.06573796272277832,0.0642620325088501,0.03500000014901161,1.0,1.5132629871368408,0.022741205980106302,0.016602606421057053,0.03706460495122123,1.0,1.05,0.0,1.0,14.74771785736084,0.6646128296852112,0,0,1
2,1,-1.1517544,-0.33923528,-0.01988466,0.11443151,1.7385087,6.28000020980835,5.437657356262207,0.06494127213954926,0.06505872309207916,0.03500000014901161,1.0,1.4403395652770996,0.022741205980106302,0.016602606421057053,0.03706460495122123,1.0,1.05,0.0,1.0,14.387779235839844,0.3996447026729584,0,0,1
2,2,-1.4491304,-0.047530945,0.010020492,0.024620298,1.144697,5.134936809539795,-2.5529561042785645,0.022175507619976997,0.10782448202371597,0.03500000014901161,1.0,1.171962022781372,0.022741205980106302,0.016602606421057053,0.03706460495122123,1.0,1.05,0.0,1.0,9.483125686645508,0.26251912117004395,0,0,1
2,3,-1.1575953,0.347207,-0.037351657,-0.022379642,-2.5612633,-0.7687672972679138,6.132278919219971,0.0637444257736206,0.06625556945800781,0.03500000014901161,1.0,1.6791993379592896,0.022741205980106302,0.016602606421057053,0.03706460495122123,1.0,1.05,0.0,1.0,14.748955726623535,0.4011845588684082,0,0,1
2,4,-1.4505,0.05084262,-0.010125879,0.009814448,2.288435,6.28000020980835,-4.954316139221191,0.06556189805269241,0.064438097178936,0.03500000014901161,1.0,1.80810546875,0.022741205980106302,0.016602606421057053,0.03706460495122123,1.0,1.05,0.0,1.0,14.003960609436035,0.2635381519794464,0,0,1
2,5,-1.4424706,-0.24753112,0.08647029,0.03111577,0.3638348,3.3688716888427734,6.28000020980835,0.06513728946447372,0.0648627057671547,0.03500000014901161,1.0,1.3553496599197388,0.022741205980106302,0.016602606421057053,0.03706460495122123,1.0,1.05,0.0,1.0,14.765142440795898,0.3788968324661255,0,0,1
2,6,-1.4493954,0.24950783,-0.015281276,0.0024578664,3.0662868,-4.785000324249268,6.28000020980835,0.06565853953361511,0.0643414556980133,0.03500000014901161,1.0,1.7318694591522217,0.022741205980106302,0.016602606421057053,0.03706460495122123,1.0,1.05,0.0,1.0,14.686711311340332,0.3812313377857208,0,0,1
2,7,-0.8495492,0.44969675,-0.023298826,0.0033819976,3.049797,-3.090489625930786,5.499725818634033,0.06406763941049576,0.06593235582113266,0.03500000014901161,1.0,1.798323631286621,0.022741205980106302,0.016602606421057053,0.03706460495122123,1.0,1.05,0.0,1.0,12.010743141174316,0.667137622833252,0,0,1
3,0,-0.84986347,-0.4313275,-0.0073869633,0.099812515,1.6567707,4.120574474334717,6.28000020980835,0.06382305175065994,0.06617694348096848,0.03500000014901161,1.0,1.47745680809021,0.02451582575317645,0.01852999814348035,0.03848275684246736,1.0,1.05,0.0,1.0,14.706122398376465,0.6580806374549866,0,0,1
3,1,-1.1535331,-0.32767466,-0.01643075,0.11614217,1.7077774,6.28000020980835,5.4764838218688965,0.06244818866252899,0.06755180656909943,0.03500000014901161,1.0,1.5353922843933105,0.02451582575317645,0.01852999814348035,0.03848275684246736,1.0,1.05,0.0,1.0,14.409744262695312,0.3895922899246216,0,0,1
3,2,-1.4477541,-0.045270506,0.016366776,0.021446513,0.87670606,5.233438491821289,-1.9990012645721436,0.02510675974190235,0.10489322990179062,0.03500000014901161,1.0,1.1244066953659058,0.02451582575317645,0.01852999814348035,0.03848275684246736,1.0,1.05,0.0,1.0,10.150229454040527,0.2613517940044403,0,0,1
3,3,-1.1615745,0.34383312,-0.036283225,-0.038040996,-2.3049035,0.8828621506690979,6.28000020980835,0.06268838793039322,0.0673116073012352,0.03500000014901161,1.0,1.6731436252593994,0.02451582575317645,0.01852999814348035,0.03848275684246736,1.0,1.05,0.0,1.0,14.6867036819458,0.3931601345539093,0,0,1
