step,agent_id,pos_x,pos_y,vel_x,vel_y,angle,cmd_omega_l,cmd_omega_r,w_flow,w_shape,k_diff,alpha,beta,q_shape,corridor_width,goal_x,goal_y,ideal_beta,y_grad_variance,dist_centroid,is_colliding,score,is_alive
1,0,-1.4448819,0.051364556,0.033507504,0.009874297,0.29306167,6.28,5.34358313288303,0.09,0.04,0.05,1.0,5.0,0.5714292513228463,1.0,1.15,0.0,1.0,8.984728813171387,0.37237563729286194,0,0,1
1,1,-0.85306096,0.35050187,-0.023840498,0.0033575129,3.0112035,-6.28,1.5159456884129305,0.09,0.04,0.05,1.0,5.0,0.5714292513228463,0.8772105574607849,1.15,0.0,1.0,9.281633377075195,0.5592145323753357,0,0,1
1,2,-1.1431888,-0.24941158,0.03688835,0.006944174,0.1879243,3.862909150193133,6.28,0.09,0.04,0.05,1.0,5.0,0.5714292513228463,1.0,1.15,0.0,1.0,9.585413932800293,0.22877347469329834,0,0,1
1,3,-1.0461355,-0.250874,0.01923057,-0.007396187,-0.41952717,2.225994807632047,6.28,0.09,0.04,0.05,1.0,5.0,0.5714292513228463,1.0,1.15,0.0,1.0,9.48396110534668,0.2516694664955139,0,0,1
1,4,-1.1511675,-0.34635976,-0.017387316,0.02452105,2.2354193,4.154407523495614,-5.785557119933713,0.09,0.04,0.05,1.0,5.0,0.5714292513228463,1.0,1.15,0.0,1.0,10.068595886230469,0.33988210558891296,0,0,1
1,5,-0.848905,0.05004552,-0.0062142042,0.0024895787,2.8149512,-6.28,4.880968548777607,0.09,0.04,0.05,1.0,5.0,0.5714292513228463,0.871946394443512,1.15,0.0,1.0,9.89216423034668,0.3461836576461792,0,0,1
1,6,-1.3446206,0.25042823,0.033284813,0.0076335883,0.25533676,6.28,0.5629288917612097,0.09,0.04,0.05,1.0,5.0,0.5714292513228463,1.0,1.15,0.0,1.0,10.294608116149902,0.41808515787124634,0,0,1
1,7,-1.2482483,-0.25090516,0.008513861,-0.005691368,-0.6165381,-5.4598964641196694,4.4283858026577425,0.09,0.04,0.05,1.0,5.0,0.5714292513228463,1.0,1.15,0.0,1.0,8.746923446655273,0.2641535699367523,0,0,1
2,0,-1.4416157,0.05236087,0.03290162,0.010057079,0.29924423,6.28,5.304366316452491,0.09,0.04,0.05,1.0,5.0,0.5738505043162531,1.0,1.15,0.0,1.0,8.385211944580078,0.3699474036693573,0,0,1
2,1,-0.85547906,0.35071608,-0.024239104,0.0013272052,3.095952,-6.28,1.9398094037130789,0.09,0.04,0.05,1.0,5.0,0.5738505043162531,0.8802734613418579,1.15,0.0,1.0,8.76513957977295,0.5567634105682373,0,0,1
2,2,-1.1396565,-0.24875428,0.03597916,0.006441305,0.17710036,2.7121450435357604,6.28,0.09,0.04,0.05,1.0,5.0,0.5738505043162531,1.0,1.15,0.0,1.0,8.97970199584961,0.2285172939300537,0,0,1
2,3,-1.0444436,-0.25162876,0.0176737,-0.0075534936,-0.421424,2.188472425351222,6.28,0.09,0.04,0.05,1.0,5.0,0.5738505043162531,1.0,1.15,0.0,1.0,8.939144134521484,0.25338292121887207,0,0,1
