step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y
1,0,0.06936968117952347,-0.04915666580200195,-2.0190393924713135,0.0,0.0,0,0,0,-1,0.008317979983985424,0.0016208365559577942,0.12006117403507233,0.0020031980238854885,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,1,0.07412033528089523,-0.4002643823623657,-2.6785831451416016,0.0,0.0,0,0,0,-1,0.006941293366253376,0.0027129496447741985,0.12034574896097183,0.02503443881869316,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,2,-0.07785806804895401,-0.04154234379529953,-2.4041757583618164,0.0,0.0,0,0,0,-1,0.007536460179835558,0.0021102067548781633,0.1203533336520195,0.010612337850034237,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,1.0,0.0
1,3,0.22487115859985352,0.32014200091362,1.1227731704711914,0.0,0.0,0,0,0,-1,0.00830172374844551,0.0014576261164620519,0.12024063616991043,0.007378809154033661,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,4,0.07132922857999802,0.44123339653015137,2.729900598526001,0.0,0.0,0,0,0,-1,0.006145738530904055,0.004344937391579151,0.11950932443141937,0.024795206263661385,0.0,0.016909897327423096,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,5,0.2179855853319168,0.18661369383335114,-2.198394536972046,0.0,0.0,0,0,0,-1,0.00766108650714159,0.002585581038147211,0.11975333839654922,0.006617366336286068,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,6,0.21643130481243134,-0.16655750572681427,-2.6065943241119385,0.0,0.0,0,0,0,-1,0.00843625795096159,0.0017175363609567285,0.11984620988368988,0.00019103303202427924,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,7,-0.07499996572732925,-0.15999606251716614,2.8976874351501465,0.0,0.0,0,0,0,-1,0.0077467383816838264,0.002106769010424614,0.1201464906334877,0.00874127447605133,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,1.0,0.0
2,0,0.06548299640417099,-0.05849606543779373,-1.9322682619094849,0.0,0.0,0,0,0,-1,0.008366242051124573,0.0016633892664685845,0.11997036635875702,0.0023356520105153322,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,1,0.06851626187562943,-0.40246906876564026,-2.8525354862213135,0.0,0.0,0,0,0,-1,0.007312003057450056,0.002565171103924513,0.12012281268835068,0.024920744821429253,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,2,-0.08248040825128555,-0.04531998187303543,-2.5550827980041504,0.0,0.0,0,0,0,-1,0.007651578634977341,0.0020881330128759146,0.12026027590036392,0.011492012068629265,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,1.0,0.0
2,3,0.2291334867477417,0.3287557363510132,1.1213631629943848,0.0,0.0,0,0,0,-1,0.008436277508735657,0.0013799240114167333,0.1201837956905365,0.00483296811580658,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
