step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y
1,0,-0.07703442126512527,-0.15808846056461334,2.082592010498047,0.0,0.0,0,0,0,-1,0.008434679359197617,0.001422598958015442,0.12014272063970566,0.001575449132360518,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,1,0.22862526774406433,-0.3991202116012573,0.1334555745124817,0.0,0.0,0,0,0,-1,0.006458539515733719,0.003298063762485981,0.1202433854341507,0.02493353746831417,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,2,-0.07212285697460175,0.425700306892395,-1.3620651960372925,0.0,0.0,0,0,0,-1,0.007291656918823719,0.0030276344623416662,0.11968071013689041,0.02501079812645912,0.0,0.019713222980499268,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,3,0.07498592138290405,0.43988627195358276,1.251010537147522,0.0,0.0,0,0,0,-1,0.006004262249916792,0.003994441591203213,0.12000127881765366,0.024949073791503906,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,4,0.21807722747325897,0.3270266652107239,2.311796188354492,0.0,0.0,0,0,0,-1,0.008488990366458893,0.0016823098994791508,0.11982869356870651,0.0007772467797622085,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,5,0.0748961940407753,-0.39996278285980225,2.7743442058563232,0.0,0.0,0,0,0,-1,0.0066984109580516815,0.0035248089116066694,0.11977677792310715,0.02493375726044178,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,6,0.22283165156841278,0.07904030382633209,-2.9330291748046875,0.0,0.0,0,0,0,-1,0.008486189879477024,0.0015671859728172421,0.11994661390781403,0.0002398690558038652,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,7,0.07505408674478531,-0.1599971354007721,-1.3583427667617798,0.0,0.0,0,0,0,-1,0.008439077995717525,0.0013177780201658607,0.1202431470155716,0.0016060760244727135,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,0,-0.0814720019698143,-0.1492794156074524,2.0381994247436523,0.0,0.0,0,0,0,-1,0.008492710068821907,0.0013597096549347043,0.12014757841825485,0.0014391465811058879,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,1,0.23317326605319977,-0.39783117175102234,0.29963240027427673,0.0,0.0,0,0,0,-1,0.0075075565837323666,0.002380722900852561,0.12011171877384186,0.025042416527867317,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,2,-0.06986995041370392,0.4150093197822571,-1.3942266702651978,0.0,0.0,0,0,0,-1,0.0069611454382538795,0.0027358951047062874,0.1203029602766037,0.024947689846158028,0.0,0.004468947649002075,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,3,0.07752639055252075,0.44662386178970337,1.1519120931625366,0.0,0.0,0,0,0,-1,0.0065400502644479275,0.0033262381330132484,0.12013370543718338,0.024874718859791756,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,4,0.21140611171722412,0.3351939618587494,2.239509105682373,0.0,0.0,0,0,0,-1,0.008576460182666779,0.0017112653004005551,0.11971227079629898,0.0011068740859627724,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,5,0.06659770011901855,-0.39662474393844604,2.736206293106079,0.0,0.0,0,0,0,-1,0.007275378331542015,0.0025524043012410402,0.12017221748828888,0.02496846206486225,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,6,0.2136080414056778,0.07795129716396332,-3.0424563884735107,0.0,0.0,0,0,0,-1,0.00863526202738285,0.0015523429028689861,0.11981239169836044,0.00022050946427043527,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,7,0.07710333168506622,-0.16893456876277924,-1.327238917350769,0.0,0.0,0,0,0,-1,0.008527579717338085,0.0012535658897832036,0.12021885067224503,0.0014934295322746038,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,0,-0.08691413700580597,-0.1386294811964035,2.0526015758514404,0.0,0.0,0,0,0,-1,0.008362870663404465,0.0015804064460098743,0.12005671858787537,0.0009339175885543227,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,1,0.24128921329975128,-0.3951871395111084,0.3433595597743988,0.0,0.0,0,0,0,-1,0.007901162840425968,0.0020899856463074684,0.12000885605812073,0.024983569979667664,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
