step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y
1,0,-0.07506532967090607,0.31997188925743103,-1.9631651639938354,0.0,0.0,0,0,0,-1,0.008399303071200848,0.0017556861275807023,0.11984501034021378,0.0005231762188486755,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,1,0.22492358088493347,0.43955641984939575,-1.2069625854492188,0.0,0.0,0,0,0,-1,0.00747287692502141,0.0028630539309233427,0.11966407299041748,0.024827608838677406,0.0,0.0078050196170806885,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,2,0.07505985349416733,0.19997495412826538,1.9950321912765503,0.0,0.0,0,0,0,-1,0.00838973093777895,0.0015910370275378227,0.12001923471689224,0.00032022909726947546,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,3,0.234333336353302,-0.04842187836766243,-0.9927811026573181,0.0,0.0,0,0,0,-1,0.008421818725764751,0.0017512806225568056,0.11982689797878265,0.00018453777011018246,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,4,-0.06474225968122482,-0.17015370726585388,-0.8129945397377014,0.0,0.0,0,0,0,-1,0.00806276686489582,0.0019502168288454413,0.11998701095581055,0.0015597381861880422,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,5,0.07491897791624069,0.439905047416687,-1.565578818321228,0.0,0.0,0,0,0,-1,0.007467108312994242,0.0028519644401967525,0.11968091875314713,0.024840040132403374,0.0,0.001073688268661499,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,6,0.08482019603252411,-0.15649829804897308,0.5123645663261414,0.0,0.0,0,0,0,-1,0.007689912337809801,0.002479218179360032,0.11983086913824081,0.0015228652628138661,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
1,7,-0.07518760114908218,0.07997994869947433,2.6575634479522705,0.0,0.0,0,0,0,-1,0.008463473059237003,0.0015501000452786684,0.11998642235994339,0.00026066810823976994,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,0,-0.0785900205373764,0.3112293481826782,-1.9411555528640747,0.0,0.0,0,0,0,-1,0.008492814376950264,0.0016230754554271698,0.11988410353660583,0.0005192051758058369,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,1,0.22781506180763245,0.43097034096717834,-1.266855001449585,0.0,0.0,0,0,0,-1,0.00751960976049304,0.002400500001385808,0.1200798749923706,0.024928608909249306,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,2,0.07111993432044983,0.20846478641033173,2.019404649734497,0.0,0.0,0,0,0,-1,0.008599604479968548,0.0015733469044789672,0.11982704699039459,0.00031864046468399465,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,3,0.24006494879722595,-0.05800456553697586,-1.0428943634033203,0.0,0.0,0,0,0,-1,0.008406689390540123,0.0017451347084715962,0.11984816938638687,0.0002373875759076327,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,4,-0.057213492691516876,-0.17817866802215576,-0.8486754894256592,0.0,0.0,0,0,0,-1,0.007990925572812557,0.002090881811454892,0.11991819739341736,0.0015929603250697255,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,5,0.07473766803741455,0.43075066804885864,-1.609331488609314,0.0,0.0,0,0,0,-1,0.007502261083573103,0.0022442599292844534,0.12025347352027893,0.02493249624967575,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,6,0.09413564205169678,-0.15075433254241943,0.5423179268836975,0.0,0.0,0,0,0,-1,0.007920468226075172,0.0022269529290497303,0.11985257267951965,0.00189517333637923,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
2,7,-0.08320000022649765,0.08433733880519867,2.624251127243042,0.0,0.0,0,0,0,-1,0.008621126413345337,0.001488136244006455,0.1198907345533371,0.00025698705576360226,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,0,-0.08289562165737152,0.30007120966911316,-1.9465267658233643,0.0,0.0,0,0,0,-1,0.008314103819429874,0.0017718086019158363,0.11991407722234726,0.00029334574355743825,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,1,0.23086650669574738,0.4203624427318573,-1.3209774494171143,0.0,0.0,0,0,0,-1,0.007315231021493673,0.0025502853095531464,0.12013447284698486,0.024943770840764046,0.0,0.016861557960510254,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,2,0.0659133791923523,0.21918253600597382,2.0173656940460205,0.0,0.0,0,0,0,-1,0.008386983536183834,0.0017346588429063559,0.11987835168838501,0.0001856403105193749,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,3,0.2458246797323227,-0.06815996021032333,-1.0726011991500854,0.0,0.0,0,0,0,-1,0.008256993256509304,0.0018483547028154135,0.11989464610815048,0.00033385903225280344,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,4,-0.050135307013988495,-0.18642720580101013,-0.8666117787361145,0.0,0.0,0,0,0,-1,0.007878183387219906,0.0021281049121171236,0.11999370157718658,0.0012619906337931752,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,5,0.07410106062889099,0.41910287737846375,-1.6411633491516113,0.0,0.0,0,0,0,-1,0.007554396986961365,0.001959729939699173,0.12048586457967758,0.024898111820220947,0.0,0.015314549207687378,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,6,0.10441312938928604,-0.14461317658424377,0.5339889526367188,0.0,0.0,0,0,0,-1,0.007986479438841343,0.002114680828526616,0.11989884078502655,0.0013907600659877062,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
3,7,-0.09282796084880829,0.09009081870317459,2.5764377117156982,0.0,0.0,0,0,0,-1,0.008409582078456879,0.001644633710384369,0.11994578689336777,4.990518209524453e-05,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
4,0,-0.08733835071325302,0.28913113474845886,-1.9721431732177734,0.0,0.0,0,0,0,-1,0.008147475309669971,0.0019680254627019167,0.11988449841737747,0.0005189475486986339,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.0,0.0
