step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,target_0_x,target_0_y
1,0,-0.21980516612529755,0.07515721023082733,-0.7419508695602417,6.28,6.28,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,0,0.675,0.32
1,1,-0.5214340686798096,-0.2806951701641083,-0.6042408347129822,6.28,5.498819986821596,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,1,0.675,0.32
1,2,-0.37982800602912903,0.4424770474433899,2.684431791305542,-6.28,0.37526298484512055,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,0,0.675,0.32
1,3,-0.37227392196655273,-0.39531847834587097,1.1105501651763916,0.38765577590393824,-6.28,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,0,0.675,0.32
1,4,-0.5254225730895996,-0.15981896221637726,2.4808788299560547,6.28,6.28,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,0,0.675,0.32
1,5,-0.5254286527633667,-0.038768548518419266,-0.9603894948959351,-6.28,0.31544538589369786,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,0,0.675,0.32
1,6,-0.5261191725730896,-0.4005531966686249,0.3009425699710846,0.24935338662705891,-6.28,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,1,0.675,0.32
1,7,-0.6725602149963379,-0.04753441363573074,-1.2405445575714111,0.40086402971216056,-6.28,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,0,0.675,0.32
2,0,-0.21522057056427002,0.07138115167617798,-0.6330981850624084,6.28,6.28,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,0,0.675,0.32
2,1,-0.5201730132102966,-0.2817555367946625,-0.7927078008651733,6.28,6.28,0,0,0,0.02,0.08,0.03,0.15,0.9,0.1,-1.2,0.0,0,0,1,1,0.675,0.32
